station_name,operator,address,city,district_area,state,pincode,latitude,longitude,num_chargers,connector_types,power_kw,status,pricing,source_url,coord_precision,corridor
Bheemas Nalabagam,Zeon Charging,"Madurai Mandapam Highway, Bharathi Nagar, Sakkarakottai",Ramanathapuram,Ramanathapuram,Tamil Nadu,623503.0,9.36109,78.84638,2,Type 2 (Tethered Connector),22.0,Operational,21.90/kWh,https://www.evchargestation.in/ev-station/bheemas-nalabagam-ramanathapuram-tamil-nadu,verified (site page),Urban/City
Chima Cars,Tata Power,"No 2/211, Madurai Road, Kooriyur",Ramanathapuram,Ramanathapuram,Tamil Nadu,623502.0,9.36718,78.8099,1,CCS (Type 2),25.0,Operational,21/kWh,https://www.evchargestation.in/ev-station/chima-cars-ramanathapuram-tamil-nadu,verified (site page),Urban/City
HPCL - M.S.,HPCL,"GWR7 RVM, South St, Thiruppalaikkudi, Ramanathapuram",Ramanathapuram,Ramanathapuram,Tamil Nadu,,9.3639,78.8395,1,AC Type 2,,Operational,,https://www.zigwheels.com/electric-charging-station/Ramanathapuram,approximate (town/road-level),NH87 Ramanathapuram
HPCL - Sri Mahalinga,HPCL,"No 266, 5, Soliyakkudi, Ramanathapuram",Ramanathapuram,Ramanathapuram,Tamil Nadu,,9.3639,78.8395,1,AC Type 2,,Operational,,https://www.zigwheels.com/electric-charging-station/Ramanathapuram,approximate (town/road-level),NH87 Ramanathapuram
Hotel Coral Residency,Zeon Charging,"No 27, Ayyasamy Club North Street, Railway Feeder Road",Ramanathapuram,Ramanathapuram,Tamil Nadu,623501.0,9.35954,78.83801,1,Type 2 (Tethered Connector),7.4,Operational,On request,https://www.evchargestation.in/ev-station/hotel-coral-residency-ramanathapuram-tamil-nadu,verified (site page),Urban/City
KSN Charging Station,Relux Electric (India),"ECR junction, Devipattnam Road",Ramanathapuram,Ramanathapuram,Tamil Nadu,623503.0,9.357267832,78.87360869,1,CCS (Type 2),35.0,Operational,Rs.24/-,https://www.evchargestation.in/ev-station/ksn-charging-station-ramanathapuram-tamil-nadu,verified (site page),Urban/City
KSN Charging Station (Kadampa Nagar),Unknown Operator,"Kadampa Nagar, Ramanathapuram",Ramanathapuram,Ramanathapuram,Tamil Nadu,,9.3639,78.8395,1,AC Type 2 (Level 2),,Operational,,https://www.zigwheels.com/electric-charging-station/Ramanathapuram,approximate (town/road-level),Ramanathapuram city
MDS Bakery,Unknown Operator,"East Coast Road, Chalai Bazar",Ramanathapuram,Ramanathapuram,Tamil Nadu,623504.0,9.3909,78.8514,1,CCS (Type 2),30.0,Operational,On request,https://www.evchargestation.in/ev-station/mds-bakery-ramanathapuram-tamil-nadu,verified (site page),Urban/City
SRM Eshwari College,Unknown Operator,Bharathi Salai,Ramapuram,Ramapuram,Tamil Nadu,600089.0,13.0352312108773,80.19546897036247,1,Type 2 (Tethered Connector),7.2,Operational,15/kWh,https://www.evchargestation.in/ev-station/srm-eshwari-college-ramapuram-chennai-tamil-nadu,verified (site page),Urban/City
Tucker Rameswaram,Unknown Operator,"Santhiya Nagar, near Green Leaf Resort",Rameshwaram,Rameshwaram,Tamil Nadu,623526.0,9.28616,79.27707,1,CCS (Type 2),25.0,Operational,On request,https://www.evchargestation.in/ev-station/tucker-rameswaram-rameshwaram-tamil-nadu,verified (site page),Urban/City
